Time,Voltage
0,0.02
1,0.34
2,0.66
3,0.9700000000000001
4,1.28
5,1.59
6,1.89
7,2.2
8,2.5
9,2.8
10,3.11
11,3.4099999999999997
12,3.7100000000000004
13,4.01
14,4.31
15,4.61
16,4.91
17,5.2
18,5.5
19,5.79
20,6.08
21,6.38
22,6.67
23,6.96
24,7.26
25,7.56
26,7.85
27,8.139999999999999
28,8.43
29,8.71
30,9.0
31,9.28
32,9.56
33,9.85
34,10.13
35,10.41
36,10.7
37,10.98
38,11.26
39,11.54
40,11.82
41,12.1
42,12.370000000000001
43,12.65
44,12.93
45,13.2
46,13.48
47,13.75
48,14.030000000000001
49,14.3
50,14.58
51,14.85
52,15.12
53,15.389999999999999
54,15.66
55,15.93
56,16.2
57,16.47
58,16.740000000000002
59,17.01
60,17.27
61,17.54
62,17.8
63,18.07
64,18.33
65,18.59
66,18.849999999999998
67,19.11
68,19.380000000000003
69,19.64
70,19.89
71,20.150000000000002
72,20.41
73,20.67
74,20.93
75,21.19
76,21.44
77,21.7
78,21.95
79,22.21
80,22.47
81,22.72
82,22.970000000000002
83,23.23
84,23.48
85,23.740000000000002
86,23.990000000000002
87,24.240000000000002
88,24.490000000000002
89,24.740000000000002
90,25.0
91,25.25
92,25.5
93,25.75
94,26.0
95,26.25
96,26.5
97,26.75
98,27.0
99,27.25
100,27.5
101,27.740000000000002
102,27.990000000000002
103,28.23
104,28.47
105,28.72
106,28.96
107,29.2
108,29.44
109,29.680000000000003
110,29.919999999999998
111,30.16
112,30.4
113,30.64
114,30.880000000000003
115,31.11
116,31.35
117,31.59
118,31.82
119,32.059999999999995
120,32.29
121,32.53
122,32.76
123,33.0
124,33.230000000000004
125,33.459999999999994
126,33.69
127,33.92
128,34.160000000000004
129,34.38999999999999
130,34.62
131,34.85
132,35.08
133,35.31
134,35.54
135,35.77
136,35.99
137,36.22
138,36.45
139,36.67
140,36.900000000000006
141,37.13
142,37.36
143,37.580000000000005
144,37.8
145,38.03
146,38.260000000000005
147,38.48
